Date,Close,High,Low,Open,Volume
2011-06-27,4.76402473449707,4.79518517177532,4.6947795699965695,4.725940007274819,5358282
2011-06-28,4.781335830688477,4.843656260025153,4.746713923627403,4.774411992890849,4763249
2011-06-29,4.781335830688477,4.781335830688477,4.781335830688477,4.781335830688477,0
2011-06-30,4.7951860427856445,4.843656534210054,4.705167086077662,4.705167086077662,4733512
2011-07-01,4.781335830688477,4.840194341126339,4.764025330170096,4.805572434065266,3708153
2011-07-04,4.899052619934082,4.899052619934082,4.788261686665498,4.815958853717371,5667586
2011-07-05,4.923288345336914,4.93713783495681,4.847118870500812,4.899052644526538,5599971
2011-07-06,4.909438133239746,4.919825247967633,4.847117709932986,4.9059762146758965,4982201
2011-07-07,4.871354579925537,4.944060762938154,4.854043174102028,4.916363600849669,6331725
2011-07-08,4.888664722442627,4.933673740077329,4.850580900848201,4.8678913993823185,4755469
2011-07-11,4.89212703704834,4.899051780637192,4.81249610987367,4.878278455894918,5854052
2011-07-12,4.784799575805664,4.874817177170681,4.770949633797336,4.864430513435787,4860749
2011-07-13,4.8782782554626465,4.892126836047076,4.7813354732989035,4.7813354732989035,5216459
2011-07-14,4.9336748123168945,4.968296722933746,4.854043874283493,4.905977193220973,7105626
2011-07-15,4.995995044708252,5.0098436271864495,4.9198260290294265,4.9198260290294265,7205702
2011-07-18,5.044465065002441,5.158719257362209,5.023691740214172,5.037541227422541,13489975
2011-07-19,4.954447269439697,5.0202296128738695,4.919825364905606,5.016767694227734,6283877
2011-07-20,4.964833736419678,5.013304672671094,4.902513314079136,4.957908993375114,5098102
2011-07-21,4.867892265319824,4.968296526967947,4.86443034620201,4.947523200212323,4130427
2011-07-22,5.058315753936768,5.120635284513749,4.892127771995632,4.912901099858695,14239880
2011-07-25,4.76402473449707,5.051389788860624,4.74325141165297,5.051389788860624,9380416
2011-07-26,4.729403018951416,4.7951853615653866,4.6982425804398575,4.719016357118269,4300942
2011-07-27,4.77787446975708,4.788261586703013,4.6774702027351545,4.729403975415982,4125716
2011-07-28,4.739790916442871,4.74325283594836,4.660159066608613,4.74325283594836,3109393
2011-07-29,4.750177383422852,4.798648331593904,4.729404055204941,4.739790719313897,3683024
